drug_name,original_text,origin,indications,properties,dosage,contraindications,other1,other10,other11,other2,other3,other4,other5,other6,other7,other8,other9,other10_name,other11_name,other1_name,other2_name,other3_name,other4_name,other5_name,other6_name,other7_name,other8_name,other9_name,source_file
地榆,味苦，微寒，无毒。治妇人乳痉痛、七伤、带下十二病，止痛，除恶肉，止汗气。消酒，明目，治金疮。生山谷。,生山间向阳之地，今处处平原川泽亦有之，根直而柔，入药。,"地榆为止血收敛要药，功能止吐血下血久痢，妇人崩带。

> 地榆止血。最常用的就是痔疮的出血，还有嘴巴里面出血，肝硬化之后门静脉破裂出血，胃癌出血。

> 注：大便出血，如果是鲜血那是近血，痔疮产生的血，如果是黑血，要注意可能是胃出血所致。",味苦【或作苦甘酸】，性微寒，无毒。,普通二钱至三至四钱。,性寒下行，脾胃虚寒作泄，白痢久而胃弱，胎产虚寒泄泻，血崩脾虚作泄，均忌，恶麦冬，丹砂，硫黄，雄黄。,止脓血诸瘘恶疮热疮．补绝伤，产后内塞，可作金疮膏，消酒除渴，明目。,,,止冷热痢，疳痢极效。,止吐血鼻衄，伤风，月经不止，血崩，产前后诸血疾，并水泻。,地榆首之气味厚，故行血更有力，尾之药味薄，故行血之力轻。,,,,,,,,别录,开宝,大明,容川,,,,,,191.地榆.md
海藻,味苦，寒，无毒．治瘿瘤气，颈下核，破散结气，痈肿，症瘕，坚气，腹中上下鸣，下十二水肿。生东海池泽。一名落首。,产海岛中，为藻类之产于海中者，种类颇多，入药用马尾藻。,"海藻为除热软坚要药，主瘿瘤瘰疬，治瘫肿老痰，通血脉，利小便。

> 海藻和昆布‍‍。这俩都是海里的，都是咸味，都能软坚，功效差不多，如果用昆布就不必再加海藻，用海藻就不必再加昆布。","味咸，性寒，无毒。

> 性寒，寒症不用，热症可用。","普通一钱至三钱。

> 三钱就比较多了，海藻很咸，用的多想吐。",脾家有湿者忌。,疗皮间积聚，暴溃瘤气，结热，利小便。,,,"辟百邪鬼魅，治气急心下满，疝气下坠，疼痛卵肿，去腹中幽幽作声。

> 去腹中幽幽作声。这个含义倪老师解释的很隐晦，大概是说海藻可以收敛欲望，绝对不是壮阳的。所以欲望躁动难抑可以吃点海藻，帮助稳定情绪。

> 消积的药。汉唐九十号消积丸就有海藻，有人因为甲亢变得肥胖水肿，最适合吃海藻。海藻能软坚，能利水，身上累积的东西全部消除掉，所以令人瘦。",海藻昆布皆生于水中，味微咸，又具草之质，是禀水木二气而生，故能清火润肝。,,,,,,,,,别录,甄权,容川,,,,,,,192.海藻.md
泽兰,一名龙枣。味苦，微温，无毒。治乳妇衄血，中风余疾，大腹水肿，身面四肢浮肿，骨节中水，金疮，痈肿疮脓。生诸大泽旁。一名虎兰。,生于溪涧或湿地，叶类薄荷，根紫黑色，叶与子根（地笋）皆入药。,"泽兰为女科要药，功能行血消水，主养血气，破宿瘀，消症瘕痈肿，胎前产后诸病。

> 泽兰多用在妇科。因为它能活血，行血，消水，排水，女人有腹部水肿，四肢水肿，关节水肿，但凡你看到一个女人很胖，身上有水肿，都可以用泽兰。女子产前的水肿也可用。","味苦甘，性微温，无毒。

> 积水多是寒症，泽兰性温可以温水的，令水汽化，进而利水；",普通一钱至三钱。,破血通积，大虚不宜。,,,,产后腹痛，频产血气衰冷，成劳瘦羸，妇人血沥腰痛。,"胎前产后百病，通九窍，利关节，养血气破宿血，消症瘕，通小肠，长肌肉，消扑损瘀血，治鼻血吐血，头风目痛，妇人劳瘦，丈夫面黄。

> 妇人劳瘦，丈夫面黄。就是又黄又瘦都可以用。一般有积水的黄疸会用泽兰。","清湿热，治水肿。

> 徐灵胎也说泽兰利水，是利尿剂。",,,,,,,,别录,甄权,大明,灵胎,,,,,,193.泽兰.md
防己,味辛，平，无毒．治风寒，温疟，热气，诸痫，除邪，利大小便，通腠理，利九窍。生川谷。一名解离。,"产我国四川陕西及贵州，有汉防己及木防己两种根俱入药。

> 这里讲防己分汉防己和木防己，我们用的是木防己。

> 小编：倪师弟子李宗恩直播中说过，倪师用的是粉防己。","防己为通膀胱利小便要药，主行全身祛风行水，泻下焦血分湿热，治水肿，淋病，散痈肿恶结。

> 治疗水肿、淋病。因为防己可以行水，可以泻下焦的湿热，所以可以治疗水肿，淋病。","味辛苦，性寒，无毒。

> 寒性药用于热症，比如急性黄疸，小便刺痛等。",普通一至二钱。,凡肾虚阴虚，自汗盗汗，口舌苦干，肾虚小便不利，及产前后血虚，虽有下焦湿热，均忌。,疗水肿风肿，去膀胱热，伤寒热邪气，中风手脚挛急，通腠理，利九窍，止泄，散痈肿恶结，诸瘑疥癣虫疮。,,,治湿风，口面歪斜，手足拘痛，散留痰肺气喘嗽。木防己主治男子肢节中风，毒风不语，散结气痈肿温疟，风水肿，去膀胱热。,"能去湿热，属苦降之品，其形中空，纹如车轮，能外行腠理，内行三焦，能通水气。味似龙胆，能利水行。

> 为何防己能内行三焦，通利水汽？唐容川说防己是苦味，所以能泻火，长得中间空，纹路像车轮一样，所以能外行腠理，内行三焦，通利水汽。","治中下湿热肿泄脚气，行十二经。

> 防己治水。刘元素说防己可以泻中下焦的湿热，行十二经，几乎全身的水肿都能用。","主治水也。

> 药征也说防己治水，目前学过很多利水的药，讲经方的时候会详细分别它们使用的时机，大家不要着急。

> 举例胃口太大减肥的组方思路。胃口太大，就是热症，用石膏去热，3钱量太小，3两下去胃就缩小了，很快就没胃口了；还可以加点知母，也是去热的；

> 然后加点防己，把三焦油网里面的水排一排，因为不吃东西之后身上会积水呀，再用点茯苓，是甘淡渗利的药，把水渗出来，泽泻可以利全身的水，也加一点；

> 上面的药下去食欲没了，还会频繁去小便，如果病人还有便秘的话，再加点大黄，如果说便秘不严重，比较轻微，那就加点麻子仁润肠就可；‍‍‍‍‍‍‍

> 如果说病人睡觉还不太好，受过惊吓，常常做噩梦，那再加点酸枣仁，酸味收敛他的心神。

> 以上就是组方的思路，大家领悟了么？",,,,,,,别录,甄权,容川,元素,药征,,,,,194.防己.md
款冬花,一名颗东。一名虎须。一名菟奚。味辛，温，无毒。治咳逆上气，善喘，喉痹，诸惊痫，寒热邪气。生山谷及水傍，一名橐吾。,产我国陕西山河西北诸地，为山野多年生草，庭园亦可栽植，百草中惟此不顾冰雪，至冬即生芽而花，故名。,款冬花为润肺祛痰止嗽要药，主治咳逆上气，肺痿肺痈，寒热邪气。,"味辛甘，性温，无毒。

> 温性的药治疗寒咳。所以治疗寒性的咳嗽是最好的。寒咳通常一躺下就咳，也不渴，喉咙里常常有水声。",普通钱半至三钱。,"咳逆消渴喘急，皆火炎气逆之病，款冬隆冬独秀，辛散而润，甘缓而和，故虚实寒热皆可用，无禁忌。

> 虚实寒热都能用，没啥禁忌。",消渴，喘息呼吸。,,,疗肺气心促，急热劳咳，连连不绝，涕唾稠粘，肺痿肺痈吐脓血。,润心肺，益五脏，除烦消痰，洗肝明目，及中风等疾。,"此药生于冬月冰雪之中，而花又在根下，乃坎中之阳象，故能引肺中阳气下行，而为利痰止咳之要药。

> 冬花和磁石。唐容川讲冬花可以引肺气下行，所以利痰止咳，金石药里面的磁石也是可以引肺气下行的，肾病、气喘、咳嗽，就可用磁石。",,,,,,,,别录,甄权,大明,容川,,,,,,195.款冬花.md
牡丹,一名鼠姑。味辛，寒，无毒。治寒热，中风，瘛瘲，痉，惊痫，邪气，除症坚，瘀血留舍肠胃，安五脏，疗痈疮。生山谷，一名鹿韭，今名丹皮。,牡丹处处皆有，庭院亦多种植之，花开美丽而大，为群花之王，色有红白紫等。其根部之皮入药。,"丹皮为理血要药，功能清伏火，凉血热，通月经，排瘀血。主治胎前产后，冷热气血之病，为女科良剂。

> 血症可以用丹皮。丹皮可以理血，女子月经痛可以用丹皮活血化瘀。之前还讲过白芍、杜仲、当归、川穹都是妇科常用药。",味辛苦，性微寒（或作性温），无毒。,普通一钱至三钱。,入血凉血能行血，凡女子血崩，及经血过期不尽，均忌与行血药同用。忌蒜及芫荽铁器。,除时气头痛客热，五劳劳气，腰痛，风噤癫疾。,,,治冷气，散诸痛，女子经脉不通，血沥腰痛。,"通关腠血脉，排脓，消扑损瘀血，续筋骨，除风痹，治胎下胞，产后一切冷热血气。

> 治胎下胞。就是有的产妇生完孩子胎盘出不来，可以用丹皮。",治神智不足无汗之谷蒸，衄血吐血。,"其色味如红花，而根性主下达，与花不同，故主内及泄中下焦之血。气属阳，血属阴，瘀血阻气，则阳不入阴，蒸热汗出，宜破其血，使气得入于血中，则不壅热，丹皮主之。气通则热不蒸，此为治热之变法也。色赤味苦，泻火，即能泻血。

> 久病必有瘀，活血化瘀。这是唐容川的治病原则，一般重症癌症肿瘤之类，都要活血化瘀。牡丹根入药，根性向下，所以可泄中下焦的血，把淤血排掉，气血就顺畅了。倪老师说他用丹皮用的很多。",疏肝气，通经脉。,,,,,,别录,甄权,大明,元素,容川,灵胎,,,,196.丹皮.md
马先蒿,味苦，平，无毒。治寒热，鬼疰，中风，湿痹；女子带下病，无子。生川泽，一名马屎蒿。,,,,,,,,,,,,,,,,,,,别录,,,,,,,,,197.马先蒿.md
积雪草,味苦，寒，无毒。治大热，恶疮，痈疽，浸淫，赤熛，皮肤赤，身热。生川谷。,,,,,,,,,,,,,,,,,,,别录,,,,,,,,,198.积雪草.md
女菀,味辛，温，无毒。治风寒洒洒，霍乱，泻利，肠鸣上下无常处，惊痫，寒热，百疾。生川谷或山阳。,,,,,,,,,,,,,,,,,,,别录,,,,,,,,,199.女菀.md
王孙,味苦，平，无毒。治五脏邪气，寒湿痹，四肢疼酸，膝冷痛。生川谷及城郭垣下。吴名白功草。楚名王孙，齐名长孙。,,,,,,,,,,,,,,,,,,,别录,,,,,,,,,200.王孙.md
蜀羊泉,味苦，微寒，无毒。治头秃，恶疮，热气，疥瘙，痂廯虫，龋齿。生川谷，又名羊泉。全草可用。,处处有之。,为杀虫灭菌药，治疗疥廯，白秃，漆疮及蛀齿。,味苦，性寒，,一般二至四钱。,多外用，少内服。,女子阴中内伤。皮间积实。,,,主小儿惊，生毛发，捣涂漆疮。,,,,,,,,,,别录,苏敬,,,,,,,,201.蜀羊泉.md
爵床,味咸，寒，无毒。治腰脊病不得着床，俛仰艰难。除热，可做浴汤。生川谷及田野。又名香苏。,处处有之。,"散瘀血，镇痛药，治腰痛及杖疮。

> 杖疮指的是过去用军棍打的伤，也可用爵床。",味咸性寒。,,,,,,疗血胀下气，治杖疮捣汁涂之。,,,,,,,,,,别录,苏敬,,,,,,,,202.爵床.md
假苏,味辛，温，无毒。治寒热，鼠，瘰疬生疮，破结聚气，下瘀血，除湿痹。生川泽。一名鼠蓂。又名荆芥。,多生野地，处处有之，气味芳香，茎与叶皆入药。,"荆芥为发表要药，功能祛风理血，发汗退热。主治寒热头疼诸风疮毒。亦为妇人胎前产后良剂。

> 主治就是发表，祛风理血，发汗退热。","味辛，性温，无毒。

> 辛温药发表。如果说麻黄桂枝都没得用，那也可以用荆芥来发表。",普通八分至二钱。,"凡表虚有汗，血虚寒热，阴虚火炎面赤，因而头痛者均忌。

> 盗汗虚汗不要用。禁忌就是这药发表，如果病人已经在盗汗、虚汗，那就不要再用了，你再发表，就会加速流汗。",,,,"去邪除劳渴，冷风出汗，煮汁服之，捣烂醋和，敷疔肿毒。

> 治疗疥疮。把荆芥捣碎跟醋混合，可以治疗疥疮。那如果找不到荆芥，把菊花捣碎外敷行不行呀，也可。",单用治恶风贼风，口面歪斜，遍身瘰痹，心虚忘事，益力添精，辟邪毒气，通利血脉，传送五脏不足气，助脾胃。,主血劳，风气壅满，背脊疼痛，虚汗，理丈夫脚气，筋骨烦痛，及阴阳毒，伤寒头痛，头旋目眩，手足筋急。,利五脏，消食下气醒酒，作菜生熟皆可食，并煎茶饮之，以豉汁煎服，治暴伤寒能发汗。,治妇人血风，及疮疥为要药。,,,,,,别录,藏器,甄权,志良,日华,苏颂,,,,203.假苏.md
翘根,味甘，寒，有小毒。治下热气，益阴精，令人面悦好，明目。久服轻身，耐老。生平泽。,,,,,,,,,,,,,,,,,,,别录,,,,,,,,,204.翘根.md
桑根白皮,味甘，寒，无毒。治伤中，五劳，六极，羸瘦，崩中，脉绝，补虚益气。叶，主除寒热，出汗。桑耳，平。黑者。治女子漏下赤白汁，血病，症瘕积聚，阴痛，阴阳寒热，无子。（王不留行散）,"处处有之，其根皮入药。

> 就是桑树的根，到处都有。","桑白皮为泻肺火行水道要药，主肺气喘满伤中，益气，开胃，消痰，解渴，治咳嗽吐血，去肺中水气，水肿腹满。

> 桑白皮泻肺火，行水道。白色的药一定入肺，辛甘发散的药可以散肺里面的积水。","味甘辛，性寒，无毒。

> 味道甘辛，甜味里面有点辣。辛甘发散为阳药，酸苦涌泄为阴药。",普通一钱至三钱。,肺虚无火，因风寒而嗽者均忌。,"去肺中水气，唾血，热渴，水肿腹满胪胀，利水道，去寸白，可以缝金疮。

> 别录也说可以去除肺中水气，水肿腹满都可用。",,,治肺气喘满，虚劳客热，头痛，内补不足。,调中下气，消痰止渴，开胃下食，杀腹脏虫，止霍乱吐泻，研汁治小儿天吊惊痫客忤。及敷鹅口疮，大验。,,,,,,,,,别录,甄权,大明,,,,,,,205.桑根白皮.md
竹叶,味苦，平，无毒。治咳逆上气，溢筋急，恶疡，杀小虫。根，作汤，益气，止渴，补虚，下气。汁，治风痉。实，通神明，轻身，益气。,为暖地山中之常绿苞木。,"竹叶为解热，祛痰，止渴，镇静药，止消喝，热狂烦闷及小儿警痫。压丹石毒。

> 临床用的最多是糖尿病。竹叶可以解热，祛痰，止渴，镇静，临床用的最多的是糖尿病，口渴就开竹叶，此外升津液的天花粉、瓜蒌根、葛根可以开点，水上来了气还不够再开升麻，这样方子就组好了。",味辛平，性寒。,五钱至一两。,"寒症忌用。

> 竹叶是寒药，所以寒症就不要用了。

> 寒药也有区分。这在讲处方的时候就容易区分了，比如张仲景有时候用黄芩黄连不用竹叶，但在妇科的时候就会用竹叶，不用黄芩黄连。",治胸中痰热，咳逆上气。,,,治吐血，热毒风，止消渴，压丹石毒。,"消痰，治狂热烦闷，中风失音不语，壮热，头风，头痛，止惊悸，温痔烦闷，妊妇头旋倒地，小儿惊痫天吊。

> 治疗孕妇的热。竹叶是去热的药，尤其是痰热，孕妇怀孕期间狂热烦闷，就可用竹叶。","因叶在四旁，则主四散，故能清肌中之热，竹茹象人之筋脉，则清脉络之热以和血，秉天水之寒气，故治一切热。

> 竹叶主四散。唐容川说竹叶主四散，所以它能把肌肉里面的热消散掉。

> 竹茹象筋脉。竹茹像人的筋脉，所以能清络脉里的热。",,,,,,,,别录,甄权,大明,容川,,,,,,206.竹叶.md
吴茱萸,味辛，温，有小毒。主温中，下气，止痛，咳逆，寒热，除湿，血痹，逐风邪，开腠理。根，温，杀三虫。久服轻身。生川谷。一名藙。,处处有之，或曰，吴地最良，故名，其子紧小，气味芳烈。,"吴茱萸为下气开郁，除风寒湿要药，主温中逐寒，驱风散热，止痛疗痹，治心腹冷痛，下焦冷气，中寒中恶，呕吐泻利，亦杀虫，治口舌生疮。

> 小结。吴茱萸下气，开郁，除风寒湿；‍吴茱萸温中驱寒，所以能驱风散热；治疗心腹冷痛；呕吐泻痢；杀虫；","味辛，性温，有小毒。

> 吴茱萸有小毒。正因如此，南派的大夫看到有毒就不敢用，可是西药个个都是毒药，也没人在乎。","普通三分至钱半。

> 关于药的剂量。遇到胃癌，会重用，有的会用到三钱，不用重剂，胃癌的呕吐止不住。当药对症的时候大家一定要对药有信心，下去一钱不见效，二钱不见效，那就是剂量不够，加到三钱就见效了。此外，也要确保药的品质是好的，所以中医要自己有药房，自己管药房。一般胃下垂一钱下去会见效，一钱没管用加到二钱三钱还不行，八成就是胃癌或者胰腺癌了，你从药的剂量上也能判断病的深浅。","多食伤神，令人起伏气，咽喉不通，动火昏目发疮，恶丹参硝石白垩，畏紫石英，凡一切阴虚之证，及五脏六腑有热无寒之人，均忌用吴茱萸。

> 阴虚的人，脏腑里没寒的人，忌用吴茱萸。",利五脏，去痰冷逆气，饮食不消，心腹诸冷绞痛，中恶心腹痛。,,,"霍乱转筋，胃冷吐泻，腹痛，产后心痛，治遍身瘰痹刺痛。腰脚软弱，利大肠壅气，肠风痔疾，杀三虫。

> 甄权讲到吴茱萸治疗胃冷吐泻，说明从唐朝开始就这么用了。","下产后余血，治肾气脚气，水肿，通关节，起阳健脾。

> 大明说可以治疗水肿，通关节，健脾。","味辛气烈，去湿极速。

> 唐容川说吴茱萸味道很烈，所以祛湿的速度很快。","治痞满塞胸，咽膈不通，润肝燥脾。

> 好古说治疗痞满塞胸，这是胃满不消化导致的，并不是心脏病，吴茱萸也可以润肝燥脾，吴茱萸是燥药，脾太湿可以用吴茱萸。

> 如何判断湿很盛？伸出舌头舌苔粘液很厚，肚子很胖，积水很多，都是湿盛的表现。

> 吃两勺汤药治了胃病的案例。倪老师说有个爸爸喝的药里有吴茱萸，觉得很苦，女儿就帮他尝一尝，尝完说不苦啊，结果尝完女儿的慢性胃病就好了，就两勺啊，病好了，说明对症了，也说明吴茱萸治疗胃病见效之快。

> 中药一剂知，二剂已。这种疗效一般在表症的时候很常见，比如感冒，速度很快，一旦变成阴实症治起来就慢了。","主治呕而胸满。

> 药征说的呕而胸满，就是寒性的呕吐。","驱肝风，逐肺寒。

> 徐灵胎说能够驱赶风，逐肺寒，治疗肝病会用到吴茱萸，吴茱萸辛辣入肺，润肺之后就可以疏肝。","吴茱萸辛而带苦，子性又主下降，故主降水饮，行滞气。专治肝寒之吐逆，此药虽不上头，然可以降肝胃之寒，使不上冲入头，故仲景用之治头痛如破，此为治脏腑而经脉自治也。

> 子类药主下降。任何的籽类药都主下降，所以吴茱萸可以降水饮，行滞气，专治肝寒的吐逆，胰脏癌、肝癌、肝硬化都会用到吴茱萸。

> 吴茱萸治疗头痛。也是用到下降之性，降肝胃之寒，使不上冲入头，就是治疗寒气往上冲造成的头痛。

> 吴茱萸+干姜。这俩常常一起用，吴茱萸和干姜都主发散，都是热药，吴茱萸入肝，干姜入胃，这俩下去中焦的寒就去掉了，此外中药凡是有一点点毒的都放点姜，可以解毒，比如用半夏也会放点姜。

> 中药里总是配对的回顾。本篇讲吴茱萸+干姜，之前还有辛夷+苍术，桂枝+白芍等。

> 孕妇呕吐伤了津液。倪老师举例，有俩孕妇都是六七月了，白人孕妇吐的不行去找西医做胃经不小心把胰脏刮破，开刀导致流产，中国人来找中医，倪老师认为呕吐就是伤了津液，先下人参补补津液，加点干姜止吐，这是温中止吐，因为孕妇的呕吐根不在肝，而是羊水往上冲导致的，再加点半夏，三味药，人参半夏干姜汤，治好了。",,,,别录,甄权,大明,容川,好古,药征,灵胎,容川,,207.吴茱萸.md
栀子,味苦，寒，无毒。治五内邪气，胃中热气，面赤，酒疱皶鼻，白癞，赤癞，疮疡。生川谷。一名木丹。,处处有之，我国南方及四川尤多产，实又名卮子盖象卮形也。,"栀子为泻火要药，主五内邪气时热，心烦懊憹，泻三焦火，清胃脕血，治五种黄病，通小便，解消渴。

> 栀子主治总结。1.心烦，三焦火旺；2.清胃里的血；3.治五种黄病，发黄、小便黄，肝病发黄等；","味苦，性寒，无毒。

> 很苦。",普通一钱至三钱。,凡脾胃虚弱，血虚发热，心肺无邪热，小便闭由膀胱气虚，均忌。,"疗目赤热疮，胸心大小肠大热，心中烦闷。

> 治疗眼睛红赤，热疮。",,,"去热毒风，除时疾热，解五种黄病，利五淋，通小便，解消渴，明目，主中恶，杀蟅虫毒。

> 啥叫【杀蟅虫】？蟅虫是一种中药，后面会介绍，栀子可以解其毒性。","治心烦懊憹不得眠，脐下血滞而小便不利。

> 治疗热症的失眠。刘元素说的治疗心烦懊憹不得眠，就是热症导致的失眠。",泻三焦火，清胃脕血，治热厥心痛，解热郁，行结气。,"栀子味苦象心包。故能泻心包之火。性苦寒，有皮膈，象心包，内之子赤，正属心之色，其花色白，当属肺金，结子成赤，当属心火，是为从肺入心，正治心中烦热之药。心为君主之官，肺为相傅之官，以制节心火之太过，栀子花白子赤，正是以肺金而归制心火也，故仲景治心中懊憹必用栀子豆豉汤。

> 栀子为啥能泻心包的火？按照唐容川说，栀子长得像心包，又性苦寒，所以能泻心包的火，心包和三焦互为表里，所以也可以泄三焦的火。多用于虚热除烦，睡不着。

> 栀子豆豉汤。心脏不断搏动产生的热往上走，肺是相傅之官，它来压制心脏往上走的热，用一种向下的力量把热导入小肠，心肺关系良好的时候就是这么互相作用的，当肺部津液不够的时候，心火太盛往上走控制不住了，这时候就会心烦，需要用肺金来制心火，张仲景的【栀子豆豉汤】就用到上述原理。如果病人大病初愈，啥都恢复正常，就是晚上睡不着，那就可以用栀子豆豉汤。",主治心烦也，旁治发黄。,清胃热，泻肺火。,,,,,别录,甄权,元素,丹溪,容川,药征,灵胎,,,208.栀子.md
芜荑,味辛，平，无毒。治五内邪气，散皮肤骨节中淫淫行毒，去三虫，化食，逐寸白，散腹中嗢嗢喘息。生川谷，一名芜菇。,,,,,,,,,,,,,,,,,,,别录,,,,,,,,,209.芜荑.md
枳实,味苦，寒，无毒。治大风在皮肤中，如麻豆苦痒，除寒热结，止利，长肌肉，利五脏，益气轻身。生川泽。,"产陕西河南等地，周礼有云，橘逾淮而为枳，即此是也，其实成熟时，早采者为枳实，皮厚而中坚；晚采者为枳壳，皮薄而中虚，皆入药。

> 枳实和枳壳‍。桔子树淮河以北叫枳，淮河以南叫桔子。刚成熟还是绿色的时候就采下来的叫枳实，晚一点采下来叫枳壳，二者都能入药。","枳实为破气行痰要药，主破结实，消胀满，治胸胁痰癖，心下痞痛，消食散血，去胃中湿热。

> 枳实治疗胸痞‍。枳实长得就像心脏一样，所以治疗心脏病会用到，比如胸痞，胸闷等。

> 枳实是破气行痰要药。可以破结实，消胀满，治疗胸胁痰痹，很多心脏病病人，胸部、喉咙里都是有痰的，所以遇到病人胸满、胸闷多用枳实，它能破气行痰。

> 心和小肠相表里。枳实能去掉胸腔里的痰，心脏功能恢复后，心气就会往下走进入小肠，小肠的蠕动就会恢复，后面经方里介绍大承气汤，小承气汤就是用到这个原理。",味苦，性寒，无毒。,普通八分至二钱。,肺气虚弱，脾胃虚，中气不运，而痰壅喘急，咳嗽不因风寒入肺气壅，及咳嗽阴虚火炎，与一概胎前产后，均忌。,除胸胁痰癖。逐停水，破结实，消胀满，心下急痞痛逆气，胁风痛，安胃气，止溏泄，明目。,,,解伤寒结胸，主上气喘咳，肾内伤冷，阴痿而有气加而用之。,消食，散败血，破积坚，去胃中湿热。,主治结实之毒，旁治胸满胸痹，腹满腹痛。,枳壳为木实，有木之质，木能疏土，故归脾胃，其味比厚朴轻，故理胃气。,,,,,,,别录,甄权,元素,药征,容川,,,,,210.枳实.md
厚朴,味苦，温，无毒。治中风，伤寒，头痛，寒热，惊悸气，血痹，死肌，去三虫。生山谷。,产我国四川河南陕西湖南等地，树皮入药，以厚肉者为良。,"厚朴为下实散满，袪湿健胃要药，主温中益气，消痰下气，气血痹，湿霍乱，治中风伤寒头痛，反胃，冷痛，腹满喘咳，杀肠中虫。

> 厚朴入脾。厚朴的味道比较重，所以能入臓，入脾，健脾，倘若味道比较轻，那可以入腑。

> 厚朴入大肠，枳实入小肠。大家看厚朴的样子，一卷一卷，就像大肠一样，所以它能入大肠。

> 如何下气——大小承气汤的原理。主治里提到的【下实散满】就是说下焦是实的，大肠小肠被堵到了，气下不去，用厚朴，它味道很重，能下气，大肠的濡动就会恢复，再配合枳实下去，小肠的濡动恢复，再加大黄，把小肠的实去掉，加芒硝是因为它能够攻坚，倘若大便很硬，大黄对它没办法，那就加点芒硝，可以把很硬的大便打散，【厚朴 枳实 大黄 芒硝】大承气汤就是这么来的，如果只是小肠被堵到，大肠里面正常，那你就不要放芒硝，就是小承气汤。

> 如何知道只是小肠被堵，大肠没有——大小承气汤的区别‍‍‍。很简单，问患者是否放屁，屁很多就是大肠里没东西都是气，那就不加芒硝，没有屁，那就是大肠也被堵到，要加芒硝，这就是大小承气汤的区别。

> 厚朴在大小青龙汤中的妙用。有时候，病人咳嗽，久咳不愈，你用了大小青龙汤其他症状恢复，就是咳嗽不好，这时候加点厚朴下去让大肠濡动一下，让肺气降下来，咳嗽就好了。大家记住：下气上逆的时候，我们会用厚朴来降逆气。

> 肝癌导致肝腹水。这时候，也可用到厚朴降气的功效，来治疗肝腹水导致的肚子肿大，肚子硬，气往上逆。",味苦辛，性温，无毒。,普通七分至二钱。,恶泽泻磁石寒水石，忌豆，性能耗气，凡脾胃虚者忌之，孕妇无故亦忌用。,温中益气，消痰下气，疗霍乱及腹痛胀满，胃中冷逆，胸中呕不止，泄痢淋露，除惊去留热，心烦满，厚肠胃。,,,"治积年冷气，腹内雷鸣虚吼，宿食不消，去结水，破宿血，化水谷，止吐酸水，大温胃气，治冷痛，主妇人虚而尿白。

> 治疗【积年冷气，腹内雷鸣虚吼】。所谓雷鸣虚吼就是肠子里咕噜咕噜的叫，很大声，厚朴可以去结水。","健脾，治反胃霍乱转筋冷热气，泻膀胱及五脏一切气，妇人产前产后腹脏不安，杀肠中虫，明耳目，调关节。

> 再次讲解【逆气】。大家想，大便在大肠里是靠气往肛门推动的，如果气不进则退，那么大便就出不来，这就叫逆气，这时候就要用厚朴。",主肺气胀满，膨而喘咳。,主治胸腹涨满也，旁治腹痛。,"厚朴本皮，味比枳壳更重，故理脾气，故仲景用枳壳治心下满，用厚朴治腹痛，此为此二药轻重之别所在。厚朴行大肠之气，故肺气得泄。仲景治喘有桂枝加厚朴杏仁汤，即因于此。

> 如果治疗便秘只用大黄芒硝，不加厚朴枳实会怎样？那会肚子会很痛啊，气还没通，就来攻坚，病人会很痛。

> 如果是寒实的便秘，怎么办？上述讲便秘主要指的是热症，那如果是寒实的便秘，你还要加点去寒的药。如何区分寒热，看小便颜色，黄为热，白为寒。",,,,,,别录,甄权,大明,好古,药征,容川,,,,211.厚朴.md
秦皮,味苦，微寒，无毒。治风寒湿痹，洒洒寒气，除热，目中青翳，白膜。久服头不白，轻身。生川谷。,产我国陕西河南等地，树皮入药。,秦皮为收敛除热要药，主痢疾带下，男子少精，治风湿痹，目中翳膜，除肝热，补下焦。,味苦，性寒，无毒。,一般二至五钱。,里寒之症不用。,疗男子少精，妇人带下，小儿痫身热，可作洗目汤，久服皮肤光泽肥大有子。,,,"痛风泪不止，作汤浴小儿身热，煎水澄清洗赤目极效。

> 治疗皮肤病。临床上也用秦皮治疗皮肤病或者皮肤发黄。记得用于热症，因为秦皮是寒药。",此药象人之皮，味苦兼降湿热。故仲景用治皮肤发黄之症。,,,,,,,,,别录,甄权,容川,,,,,,,212.秦皮.md
秦椒,味辛，温，有毒。治风邪气，温中，除寒痹，坚齿，长发，明目。久服轻身，好颜色，耐老，增年，通神。生川谷。,椒之一种，产我国陕西甘肃，今处处有之。,"秦椒主温中去寒，除风邪气，治风湿痹，喉痹吐逆，疝瘕老血。

> 秦椒的功效。1.治疗肩背痛，补筋骨；‍2.生毛发；3.皮肤上有斑，或者开刀后皮肤肿起，用秦皮，皮类的药（桑白皮、地骨皮、生姜皮、陈皮、五加皮等）治疗皮肤的问题效果好。

> 更正秦椒治疗伤口。前面讲秦椒说过可以收敛伤口，这里更正，秦椒可以内服，外用的话是僵蚕，收伤口效果好不留疤，秦皮外用是洗眼睛的。","味辛，性温，有毒。

> 辛辣的药，温药，温补的药。",普通五分至钱半。,用椒红，去目，恶栝楼防葵，畏雌黄，闭口者有毒勿用。参看蜀椒条。,疗喉痹，吐逆，疝瘕，去老血，产后余疾，腹痛，出汗，利五脏。,,,治恶风遍身四肢，疗痹，口齿肿胀摇动，女人月闭不通，产后恶血痢，多年痢，疗腹中冷痛，生毛发，灭瘢。,,,,,,,,,,别录,甄权,,,,,,,,213.秦椒.md
